category,filename,snr,psnr_denoised,ssim_denoised,mse_denoised,psnr_noisy,ssim_noisy,mse_noisy,psnr_improvement,ssim_improvement
CP,CP_-10dB_108.png,-10,11.31402439017933,0.0025837500283346273,4804.82884247449,18.149798906683326,0.020285966937190297,995.635722257653,-6.835774516503996,-0.01770221690885567
CP,CP_-10dB_109.png,-10,11.242071410204202,0.002967088999669931,4885.097317442602,17.761420330353058,0.020708396870106234,1088.7754703443877,-6.519348920148856,-0.017741307870436304
CP,CP_-10dB_11.png,-10,11.224818471241225,0.0028298809251374388,4904.542629942602,18.021252419439875,0.04018301147999518,1025.545938297194,-6.796433948198651,-0.03735313055485774
CP,CP_-10dB_110.png,-10,11.268874024013979,0.0026121044703354863,4855.041633450255,17.775537485974404,0.03581161429169875,1085.2420479910713,-6.506663461960425,-0.03319950982136326
CP,CP_-10dB_111.png,-10,11.235437574739024,0.002993949685894883,4892.564991230867,17.34495543788998,0.030287450550800003,1198.3531369579082,-6.1095178631509555,-0.02729350086490512
CP,CP_-10dB_112.png,-10,11.255977450712232,0.0028182070746057253,4869.480329241072,17.458515331567575,0.02081121788832913,1167.4245655293366,-6.202537880855344,-0.017993010813723405
CP,CP_-10dB_113.png,-10,11.611476656556302,0.02675194274359794,4486.758510044643,17.769725113941156,0.02359432873152457,1086.6954520089287,-6.158248457384854,0.0031576140120733696
CP,CP_-10dB_114.png,-10,11.238530544554614,0.003143662553692126,4889.081831951531,17.841314891323528,0.022732668271794435,1068.929029815051,-6.602784346768914,-0.01958900571810231
CP,CP_-10dB_115.png,-10,11.901972894440188,0.04064340809331906,4196.459841358418,17.734697724764132,0.03556751525301244,1095.4954759247448,-5.832724830323944,0.005075892840306621
CP,CP_-10dB_116.png,-10,11.201666770727241,0.001767178966857832,4930.757952008928,17.736236069359524,0.017921547546659873,1095.1075015943877,-6.534569298632283,-0.016154368579802042
CP,CP_-10dB_117.png,-10,11.259731002964228,0.0017450612908189345,4865.273517219388,18.578203395625202,0.03846499465873297,902.1110889668367,-7.318472392660974,-0.036719933367914036
CP,CP_-10dB_118.png,-10,10.775367877998885,0.002394193447453731,5439.307019292092,18.04900613303626,0.02810059316065349,1019.0130540497449,-7.273638255037376,-0.02570639971319976
CP,CP_-10dB_119.png,-10,11.26197464294073,0.002992578221225018,4862.7606823979595,18.249542841427353,0.02592151792155465,973.0296556122449,-6.987568198486622,-0.022928939700329633
